Date,Open,High,Low,Close,Volume
2022-08-18,295.4579,295.4579,289.287,292.279,32206273.0
2022-08-19,292.279,299.1979,291.905,294.5229,23266775.0
2022-08-22,291.905,295.0839,288.165,290.409,14775320.0
2022-08-23,291.718,293.5879,288.913,292.466,13530189.0
2022-08-24,293.4009,294.8969,287.417,289.848,13050814.0
2022-08-25,292.279,304.2469,292.279,303.8729,19441009.0
2022-08-26,308.7348,309.2958,300.5069,303.1249,18576228.0
2022-08-29,298.2629,303.6859,296.2059,302.0029,12394983.0
2022-08-30,302.0029,302.7509,293.4009,302.5639,14042944.0
2022-08-31,294.5229,312.8488,294.3359,305.9299,26206525.0
2022-09-01,305.7429,311.9138,302.9379,303.4989,23932337.0
2022-09-02,302.7509,309.1088,301.2549,307.2389,25490848.0
2022-09-05,302.9379,303.6859,295.4579,298.2629,20370608.0
2022-09-06,298.2629,300.6939,291.344,293.7749,16233176.0
2022-09-07,289.1,292.092,286.295,291.344,15178496.0
2022-09-08,286.856,290.409,280.685,282.181,23574804.0
2022-09-09,279.563,289.287,279.563,287.043,17162625.0
2022-09-13,288.539,288.726,284.612,284.986,17173715.0
2022-09-14,280.872,284.425,279.563,280.124,17988979.0
2022-09-15,279.75,282.742,279.75,280.498,13321901.0
2022-09-16,278.0671,279.937,274.1401,274.1401,24944190.0
2022-09-19,273.2051,273.7661,269.4651,270.2131,22924233.0
2022-09-20,273.3921,277.3191,273.3921,274.3271,15136256.0
2022-09-21,271.5221,272.4571,267.4081,267.4081,16093175.0
2022-09-22,263.6682,266.8471,261.0502,264.6031,17537491.0
2022-09-23,260.4892,263.1072,257.1232,257.1232,19674705.0
2022-09-26,255.4402,268.9041,255.4402,264.7901,24646712.0
2022-09-27,264.0422,264.7901,257.3102,262.5462,22729235.0
2022-09-28,261.6112,261.6112,255.6272,256.1882,22159591.0
2022-09-29,260.1152,265.3511,250.7652,253.0092,20159158.0
2022-09-30,249.4563,258.4322,246.4643,249.0823,22458387.0
2022-10-03,246.8383,249.4563,242.5373,246.6513,13987290.0
2022-10-05,256.9362,261.7982,253.5702,260.8632,18141455.0
2022-10-06,260.8632,264.2292,257.1232,259.7412,10374051.0
2022-10-07,256.0012,256.5622,252.4482,253.0092,9981032.0
2022-10-10,248.7083,250.9522,245.7163,246.6513,15679704.0
2022-10-11,244.5943,245.3423,237.6753,238.0493,21324035.0
2022-10-12,234.6834,246.8383,231.8784,237.1143,32025105.0
2022-10-13,237.8623,238.4233,230.1954,230.1954,22159044.0
2022-10-14,233.7484,241.9763,232.2524,233.0004,31457117.0
2022-10-17,229.2604,234.4964,225.1464,231.1304,26319069.0
2022-10-18,235.6184,239.9193,233.1874,237.8623,22129580.0
2022-10-19,235.2444,236.1793,227.7644,228.1384,20957367.0
2022-10-20,221.5934,223.6504,215.9835,217.2925,49410926.0
2022-10-21,216.9185,221.0325,215.2355,217.6665,26545936.0
